city,lat,lon,category,name,source
Cotonou,6.3850399,2.3813814,restaurant,Le 229,OSM
Cotonou,6.3540136,2.4364317,hotel,Myosotis,OSM
Cotonou,6.3809501,2.3726607,pharmacy,Les Pylônes,OSM
Cotonou,6.356927,2.4295213,restaurant,CHARLY 2001,OSM
Cotonou,6.3565709,2.4286656,pharmacy,Les Cheminots,OSM
Cotonou,6.391329,2.3591585,school,Complexe scolaire la Paloma,OSM
Cotonou,6.3694197,2.4428678,restaurant,MAQUIS SILOE,OSM
Cotonou,6.3639837,2.3999588,school,ECOLE SUPÉRIEURE DES TECHNOLOGIES AVACEES ET DE MANAGEMENT,OSM
Cotonou,6.3633084,2.3997143,restaurant,Maquis Chez Georgia,OSM
Cotonou,6.3850397,2.381121,restaurant,CHEZ ZEUKEL & FILS,OSM
Cotonou,6.3676537,2.4548273,pharmacy,Pharmacie Le remède Sodjeatime,OSM
Cotonou,6.3690873,2.4153944,pharmacy,Pharmacie Alafia,OSM
Cotonou,6.3566599,2.4373026,school,Complexe scolaire catholique Père Planque,OSM
Cotonou,6.3671524,2.4135176,school,Collège La Flèche,OSM
Cotonou,6.3844585,2.379748,restaurant,Restaurant TONASSE,OSM
Cotonou,6.3625655,2.4136825,pharmacy,Pharmacie du Rond-Point,OSM
Cotonou,6.3524855,2.3911002,hotel,HOYEL LE PAQUEBOT,OSM
Cotonou,6.3901315,2.3732312,restaurant,Maquis Bar Chez Oly,OSM
Cotonou,6.3676423,2.4872196,school,Wonderful American International School of Benin,OSM
Cotonou,6.3550509,2.4367268,pharmacy,Pharmacie Ganhi,OSM
Cotonou,6.3923272,2.3642038,restaurant,9232,OSM
Cotonou,6.3722636,2.409172,restaurant,Chez Adé,OSM
Cotonou,6.3898819,2.3721156,restaurant,Bar Bel air,OSM
Cotonou,6.3925582,2.3623566,restaurant,Cesserole du sherif,OSM
Cotonou,6.3925867,2.3619821,driving_school,Auto école Gama,OSM
Cotonou,6.3893807,2.3725707,driving_school,Auto-Ecole Le Progrès,OSM
Cotonou,6.3695053,2.4303446,pharmacy,Pharmacie des 4 therapies,OSM
Cotonou,6.3793929,2.4626353,school,CEG SURU LERE,OSM
Cotonou,6.3794808,2.4637511,school,CSU Espoir 2000,OSM
